[38392:40580:0901/110336.162:WARNING:chrome\browser\signin\account_consistency_mode_manager.cc:74] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[38392:40580:0901/122116.383:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122116.383:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122128.543:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122128.543:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122144.434:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122144.436:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122201.085:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122201.085:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122220.218:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122220.222:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122228.696:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122228.730:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122301.193:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending Write [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122301.193:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed Write [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122301.194:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending Write [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122301.195:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed Write [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/123030.368:INFO:CONSOLE:24] "[MCP] fab163a1-4021-47c6-8869-ebb91438f14a pending Read [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/123030.368:INFO:CONSOLE:24] "[MCP] fab163a1-4021-47c6-8869-ebb91438f14a completed Read [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/123030.368:INFO:CONSOLE:24] "[MCP] fab163a1-4021-47c6-8869-ebb91438f14a pending Read [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/123030.368:INFO:CONSOLE:24] "[MCP] fab163a1-4021-47c6-8869-ebb91438f14a completed Read [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/123030.369:INFO:CONSOLE:12] "[MCP] fab163a1-4021-47c6-8869-ebb91438f14a pending Read [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/123030.369:INFO:CONSOLE:12] "[MCP] fab163a1-4021-47c6-8869-ebb91438f14a completed Read [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
